Timestamp,Action,FilePath
2025-07-09T09:22:00.184256,CREATED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:00.239560,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:00.239865,CREATED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/.phase3.swp
2025-07-09T09:22:00.240117,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/.phase3.swp
2025-07-09T09:22:00.240350,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:08.611076,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:10.407704,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:10.415832,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:10.878187,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:15.884982,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:15.892901,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:15.894002,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:17.316633,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:20.576276,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
2025-07-09T09:22:20.577314,DELETED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/.phase3.swp
2025-07-09T09:22:49.760855,MODIFIED,/home/md/Desktop/Coursework/latest/fim_pki_tool/Neekita/encgareko
